ID,详情页,Title,Name of actors,上映时间,Rating,Type,Duration,Name of actors,Cumulative income
48,https://maoyan.com/films/23127,窃听风暴,"主演：乌尔里希·穆埃,塞巴斯蒂安·科赫,马蒂娜·格德克",上映时间：2006-03-23(德国),9.0,"剧情,悬疑",137分钟,弗洛里安·亨克尔·冯·多纳斯马尔克,暂无
49,https://maoyan.com/films/18318,本杰明·巴顿奇事,"主演：布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森",上映时间：2008-12-25(美国),8.8,"剧情,爱情,奇幻",166分钟,大卫·芬奇,暂无
50,https://maoyan.com/films/11473,美丽心灵,"主演：罗素·克劳,詹妮弗·康纳利,艾德·哈里斯",上映时间：2001-12-13(美国),8.8,"剧情,传记",135分钟,朗·霍华德,暂无
51,https://maoyan.com/films/1291,搏击俱乐部,"主演：爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特",上映时间：1999-09-10(意大利),8.8,"剧情,动作,悬疑,惊悚",139分钟,大卫·芬奇,暂无
52,https://maoyan.com/films/65496,超脱,"主演：艾德里安·布洛迪,马西娅·盖伊·哈登,詹姆斯·肯恩",上映时间：2011-04-25(美国),8.7,剧情,97分钟,托尼·凯耶,暂无
53,https://maoyan.com/films/7431,乱世佳人,"主演：费雯·丽,克拉克·盖博,奥利维娅·德哈维兰",上映时间：1939-12-15(美国),9.1,"剧情,爱情,历史,战争",238分钟,乔治·库克,暂无
54,https://maoyan.com/films/338365,海边的曼彻斯特,"主演：卡西·阿弗莱克,卢卡斯·赫奇斯,米歇尔·威廉姆斯",上映时间：2017-08-25,8.8,"剧情,家庭",136分钟,肯尼斯·罗纳根,8180000
55,https://maoyan.com/films/337625,海蒂和爷爷,"主演：阿努克·斯特芬 ,布鲁诺·甘茨,昆林·艾格匹",上映时间：2019-05-16,9.5,"剧情,家庭,冒险",111分钟,阿兰·葛斯彭纳,20930000
56,https://maoyan.com/films/4587,爱在黎明破晓前,"主演：伊桑·霍克,朱莉·德尔佩,安德莉亚·埃克特",上映时间：1995-01-27(美国),8.7,爱情,101分钟,理查德·林克莱特,暂无
57,https://maoyan.com/films/1314,天使爱美丽,"主演：奥黛丽·塔图,马修·卡索维茨,吕菲斯",上映时间：2001-04-25(比利时),8.4,爱情,122分钟,让-皮埃尔·热内,暂无
58,https://maoyan.com/films/1368,蝴蝶效应,"主演：约翰·帕特里克·阿梅多利,罗根·勒曼,卡梅隆·布莱特",上映时间：2004-01-23(美国),8.7,"剧情,科幻,悬疑,惊悚",113分钟,埃里克·布雷斯,暂无
59,https://maoyan.com/films/1239,低俗小说,"主演：约翰·特拉沃尔塔,乌玛·瑟曼,塞缪尔·杰克逊",上映时间：1994-05-21(法国),8.7,"剧情,喜剧,犯罪",154分钟,昆汀·塔伦蒂诺,暂无
60,https://maoyan.com/films/2641,罗马假日,"主演：格利高里·派克,奥黛丽·赫本,埃迪·艾伯特",上映时间：1953-08-20(意大利),9.0,"剧情,喜剧,爱情",118分钟,威廉·惠勒,暂无
61,https://maoyan.com/films/2212,菊次郎的夏天,"主演：北野武,关口雄介,岸本 加世子",上映时间：2020-09-25,8.8,"剧情,喜剧",120分钟,北野武,9060000
62,https://maoyan.com/films/614,飞屋环游记,"主演：爱德华·阿斯纳,乔丹·长井,鲍勃·彼德森",上映时间：2009-08-04,8.8,"剧情,喜剧,动画,冒险",96分钟,彼特·道格特,79060000
63,https://maoyan.com/films/78449,布达佩斯大饭店,"主演：拉尔夫·费因斯,托尼·雷沃罗利,西尔莎·罗南",上映时间：2014-06-14,8.7,"剧情,喜剧,冒险",100分钟,韦斯·安德森,暂无
64,https://maoyan.com/films/248172,复仇者联盟4：终局之战,"主演：小罗伯特·唐尼,克里斯·埃文斯,马克·鲁法洛",上映时间：2019-04-24,9.1,"动作,冒险,奇幻",181分钟,乔·罗素,4250130000
65,https://maoyan.com/films/1321,七宗罪,"主演：布拉德·皮特,摩根·弗里曼,格温妮斯·帕特洛",上映时间：1995-09-22(美国),8.7,"剧情,悬疑,惊悚,犯罪",127分钟,大卫·芬奇,暂无
66,https://maoyan.com/films/1597,春光乍泄,"主演：张国荣,梁朝伟,张震",上映时间：1997-05-30(中国香港),9.2,剧情,96分钟,王家卫,暂无
67,https://maoyan.com/films/78997,消失的爱人,"主演：本·阿弗莱克,裴淳华,尼尔·帕特里克·哈里斯",上映时间：2014-09-26(美国),8.7,"剧情,悬疑,惊悚,犯罪",149分钟,大卫·芬奇,暂无
68,https://maoyan.com/films/182,让子弹飞,"主演：姜文,周润发,葛优",上映时间：2010-12-16,8.5,"剧情,喜剧,动作,西部",132分钟,姜文,636750000
69,https://maoyan.com/films/1287,爱在日落黄昏时,"主演：伊桑·霍克,朱莉·德尔佩,弗农·多布切夫",上映时间：2015-04-20,8.7,"剧情,爱情",80分钟,理查德·林克莱特,暂无
70,https://maoyan.com/films/38099,穿条纹睡衣的男孩,"主演：阿沙·巴特菲尔德,维拉·法梅加,大卫·休里斯",上映时间：2008-08-28(英国),9.0,"剧情,战争",94分钟,马克·赫尔曼,暂无
71,https://maoyan.com/films/243,阿凡达,"主演：萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹",上映时间：2010-01-04,9.4,"动作,科幻,冒险",162分钟,詹姆斯·卡梅隆,1715070000
72,https://maoyan.com/films/1575,心灵捕手,"主演：罗宾·威廉姆斯,马特·达蒙,明妮·德里弗",上映时间：1997-12-05(美国),8.4,剧情,126分钟,格斯·范·桑特,暂无
73,https://maoyan.com/films/246286,疯狂动物城,"主演：金妮弗·古德温,杰森·贝特曼,伊德瑞斯·艾尔巴",上映时间：2016-03-04,9.5,"动画,动作,冒险",109分钟,拜伦·霍华德,1531900000
74,https://maoyan.com/films/553231,心灵奇旅,"主演：杰米·福克斯,蒂娜·菲,菲利西亚·拉斯海德",上映时间：2020-12-25,9.2,"动画,喜剧,冒险",101分钟,彼特·道格特,376180000
75,https://maoyan.com/films/246433,辩护人,"主演：宋康昊,郭度沅,吴达洙",上映时间：2013-12-18(韩国),8.8,剧情,127分钟,杨宇硕,暂无
76,https://maoyan.com/films/158,大话西游之大圣娶亲,"主演：周星驰,朱茵,莫文蔚",上映时间：2014-10-24,8.8,"喜剧,爱情,动作,奇幻",110分钟,刘镇伟,186830000
77,https://maoyan.com/films/4430,控方证人,"主演：泰隆·鲍华,玛琳·黛德丽,查尔斯·劳顿",上映时间：1957-12-17(美国),8.5,"剧情,悬疑,犯罪",116分钟,比利·怀德,暂无
78,https://maoyan.com/films/78538,素媛,"主演：李甄,薛耿求,严智苑",上映时间：2013-10-02(韩国),9.1,剧情,122分钟,李濬益,暂无
79,https://maoyan.com/films/1228,天空之城,"主演：寺田农,鹫尾真知子,龟山助清",上映时间：1992-05-01,9.0,"动画,奇幻,冒险",125分钟,宫崎骏,暂无
80,https://maoyan.com/films/224973,无间道,"主演：刘德华,梁朝伟,黄秋生",上映时间：2003-09-05,9.1,"剧情,犯罪",101分钟,刘伟强,20000
81,https://maoyan.com/films/1290,重庆森林,"主演：梁朝伟,王菲,金城武",上映时间：1994-07-14(中国香港),8.6,"剧情,悬疑,爱情",102分钟,王家卫,暂无
82,https://maoyan.com/films/513,剪刀手爱德华,"主演：约翰尼·德普,薇诺娜·瑞德,黛安娜·维斯特",上映时间：1990-12-06(美国),8.8,"剧情,爱情,奇幻",105分钟,蒂姆·波顿,暂无
83,https://maoyan.com/films/2049,十二怒汉,"主演：亨利·方达,李·科布,马丁·鲍尔萨姆",上映时间：1957-04-13(美国),9.1,"剧情,悬疑",159分钟,西德尼·吕美特,暂无
84,https://maoyan.com/films/14652,断背山,"主演：希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯",上映时间：2005-09-02(意大利),8.9,"剧情,爱情,家庭",134分钟,李安,暂无
85,https://maoyan.com/films/2204,两杆大烟枪,"主演：杰森·弗莱明,德克斯特·弗莱彻,杰森•斯坦森",上映时间：1998-08-28(英国),8.7,"惊悚,剧情,犯罪,喜剧",107分钟,盖·里奇,暂无
86,https://maoyan.com/films/78312,时空恋旅人,"主演：瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊",上映时间：2013-09-04(英国),8.9,"喜剧,爱情,奇幻",123分钟,理查德·柯蒂斯,暂无
87,https://maoyan.com/films/343203,釜山行,"主演：孔刘,郑有美,马东锡",上映时间：2016-05-13(法国),8.9,"动作,惊悚,灾难",118分钟,延尚昊,暂无
88,https://maoyan.com/films/1167831,波西米亚狂想曲,"主演：拉米·马雷克,本·哈迪,约瑟夫•梅泽罗",上映时间：2019-03-22,9.4,"剧情,音乐,传记",134分钟,布莱恩·辛格,99070000
89,https://maoyan.com/films/4883,钢琴家,"主演：艾德里安·布洛迪,艾米莉娅·福克斯,米哈乌·热布罗夫斯基",上映时间：2002-05-24(法国),8.9,"剧情,音乐,传记,战争",150分钟,罗曼·波兰斯基,暂无
90,https://maoyan.com/films/1202,大鱼,"主演：伊万·麦克格雷格,阿尔伯特·芬尼,杰西卡·兰格",上映时间：2003-12-04(美国),8.6,奇幻,125分钟,蒂姆·波顿,暂无
91,https://maoyan.com/films/11105,猫鼠游戏,"主演：莱昂纳多·迪卡普里奥,汤姆·汉克斯,克里斯托弗·沃肯",上映时间：2003-04-11,8.6,"剧情,传记,犯罪",141分钟,史蒂文·斯皮尔伯格,12000000
92,https://maoyan.com/films/1262,鬼子来了,"主演：姜文,姜宏波,陈强",上映时间：2000-05-13(法国),8.9,"剧情,战争",162分钟,姜文,暂无
93,https://maoyan.com/films/1219776,网络谜踪,"主演：约翰·赵,米切尔·拉,黛博拉·梅辛",上映时间：2018-12-14,8.6,"剧情,悬疑,犯罪",102分钟,阿尼什·查甘蒂,30490000
94,https://maoyan.com/films/78646,模仿游戏,"主演：本尼迪克特·康伯巴奇,凯拉·奈特莉,马修·古迪",上映时间：2015-07-21,9.3,"剧情,战争,传记",114分钟,莫滕·泰杜姆,52470000
95,https://maoyan.com/films/672130,奇迹男孩,"主演：雅各布·特瑞布雷,朱莉娅·罗伯茨,欧文·威尔逊",上映时间：2018-01-19,9.2,"剧情,家庭",113分钟,斯蒂芬·卓博斯基,191510000
96,https://maoyan.com/films/1233,饮食男女,"主演：郎雄,吴倩莲,杨贵媚",上映时间：1994-08-03(美国),8.8,"剧情,家庭",124分钟,李安,暂无
97,https://maoyan.com/films/790,蝙蝠侠：黑暗骑士,"主演：克里斯蒂安·贝尔,希斯·莱杰,阿伦·伊克哈特",上映时间：2008-07-14(阿根廷),9.3,"剧情,动作,科幻,惊悚",152分钟,克里斯托弗·诺兰,暂无
98,https://maoyan.com/films/615739,二十二,"主演：毛银梅,何玉珍,李凤云",上映时间：2017-08-14,9.2,纪录片,99分钟,郭柯,170620000
99,https://maoyan.com/films/1379,真爱至上,"主演：休·格兰特,比尔·奈伊,连姆·尼森",上映时间：2003-11-21(英国),8.6,"剧情,喜剧,爱情",135分钟,理查德·柯蒂斯,暂无
100,https://maoyan.com/films/20131,致命魔术,"主演：休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩",上映时间：2006-10-17(意大利),8.8,"剧情,悬疑,惊悚",130分钟,克里斯托弗·诺兰,暂无
